observation_type,id,num_observed,survey_area,point_x,point_y,kafue_national_park_centroid,kidepo_valley_national_park_centroid,south_luangwa_national_park_centroid,north_luangwa_national_park_centroid,lukusuzi_national_park_centroid,survey_id
Human Presence,356,1,Luangwa,14.684646,9.798689,,,,,,14
Human Presence,357,1,Luangwa,14.683611,9.798665,,,,,,14
Human Presence,358,1,Luangwa,14.675838,9.798619,,,,,,14
Human Presence,359,1,Luangwa,14.674734,9.79869,,,,,,14
Human Presence,360,1,Luangwa,14.671247,9.798673,,,,,,14
Human Presence,361,1,Luangwa,14.670478,9.798653,,,,,,14
Human Presence,362,1,Luangwa,14.672006,9.805005,,,,,,14
Human Presence,363,1,Luangwa,14.673206,9.804831,,,,,,14
Human Presence,364,1,Luangwa,14.685422,9.804464,,,,,,14
Human Presence,365,1,Luangwa,14.672225,9.810581,,,,,,14
Human Presence,366,1,Luangwa,14.671057,9.810652,,,,,,14
Human Presence,367,1,Luangwa,14.602961,9.4507,,,,,,14
Human Presence,368,1,Luangwa,14.591723,9.450727,,,,,,14
Human Presence,369,1,Luangwa,14.584935,9.456745,,,,,,14
Human Presence,370,1,Luangwa,14.586388,9.456706,,,,,,14
Human Presence,371,1,Luangwa,14.597015,9.456668,,,,,,14
Human Presence,372,1,Luangwa,14.603496,9.456687,,,,,,14
Human Presence,373,1,Luangwa,14.604575,9.462558,,,,,,14
Human Presence,374,1,Luangwa,14.601717,9.462278,,,,,,14
Human Presence,375,1,Luangwa,14.599337,9.462409,,,,,,14
Human Presence,376,1,Luangwa,14.598127,9.462556,,,,,,14
Human Presence,377,1,Luangwa,14.596168,9.462886,,,,,,14
Human Presence,378,1,Luangwa,14.593654,9.463163,,,,,,14
Human Presence,379,1,Luangwa,14.592076,9.463076,,,,,,14
Human Presence,380,1,Luangwa,14.590839,9.462947,,,,,,14
Human Presence,381,1,Luangwa,14.589686,9.462816,,,,,,14
Human Presence,382,1,Luangwa,14.588396,9.462735,,,,,,14
Human Presence,383,1,Luangwa,14.585229,9.462654,,,,,,14
Human Presence,384,1,Luangwa,14.582481,9.462724,,,,,,14
Human Presence,385,1,Luangwa,14.578729,9.462773,,,,,,14
